file,segment_type,count_A,count_B,diff_B_minus_A,records_A,records_B
context_100050.json,unstructured_whole,1,1,0,1,1
context_100062.json,structured,2,2,0,1,1
context_100062.json,root_preamble,1,1,0,1,1
context_100109.json,structured,6,6,0,1,1
context_100109.json,root_preamble,1,1,0,1,1
context_100125.json,structured,16,16,0,1,1
context_100125.json,root_preamble,1,1,0,1,1
context_100139.json,structured,42,42,0,1,1
context_100139.json,root_preamble,1,1,0,1,1
context_100325.json,structured,28,28,0,1,1
context_100325.json,root_preamble,1,1,0,1,1
context_100363.json,unstructured_whole,1,1,0,1,1
context_100380.json,structured,5,5,0,1,1
context_100380.json,root_preamble,1,1,0,1,1
context_100419.json,structured,7,7,0,1,1
context_100419.json,root_preamble,1,1,0,1,1
context_100453.json,structured,35,35,0,1,1
context_100453.json,root_preamble,1,1,0,1,1
context_100458.json,structured,7,7,0,1,1
context_100458.json,root_preamble,1,1,0,1,1
context_100472.json,structured,28,28,0,1,1
context_100472.json,root_preamble,1,1,0,1,1
context_10053.json,structured,14,14,0,1,1
context_10053.json,root_preamble,1,1,0,1,1
context_100545.json,structured,22,22,0,1,1
context_100545.json,root_preamble,1,1,0,1,1
context_100548.json,structured,20,20,0,1,1
context_100548.json,root_preamble,1,1,0,1,1
context_100642.json,structured,11,11,0,1,1
context_100642.json,root_preamble,1,1,0,1,1
context_100667.json,structured,5,5,0,1,1
context_100667.json,root_preamble,1,1,0,1,1
context_100668.json,structured,20,20,0,1,1
context_100668.json,root_preamble,1,1,0,1,1
context_100686.json,structured,52,52,0,1,1
context_100686.json,root_preamble,1,1,0,1,1
context_100718.json,structured,12,12,0,1,1
context_100718.json,root_preamble,1,1,0,1,1
context_100761.json,structured,70,70,0,1,1
context_100761.json,root_preamble,1,1,0,1,1
context_100833.json,structured,11,11,0,1,1
context_100833.json,root_preamble,1,1,0,1,1
context_100844.json,structured,37,37,0,1,1
context_100844.json,root_preamble,1,1,0,1,1
context_100869.json,structured,35,35,0,1,1
context_100869.json,root_preamble,1,1,0,1,1
context_100881.json,structured,18,18,0,1,1
context_100881.json,root_preamble,1,1,0,1,1
context_100945.json,structured,17,17,0,1,1
context_100945.json,root_preamble,1,1,0,1,1
context_101100.json,structured,36,36,0,1,1
context_101100.json,root_preamble,1,1,0,1,1
context_101144.json,structured,5,5,0,1,1
context_101144.json,root_preamble,1,1,0,1,1
context_101158.json,structured,22,22,0,1,1
context_101158.json,root_preamble,1,1,0,1,1
context_101199.json,structured,42,42,0,1,1
context_101199.json,root_preamble,1,1,0,1,1
context_101244.json,structured,43,43,0,1,1
context_101244.json,root_preamble,1,1,0,1,1
context_101296.json,structured,3,3,0,1,1
context_101296.json,root_preamble,1,1,0,1,1
context_101298.json,unstructured_whole,1,1,0,1,1
context_101314.json,structured,5,5,0,1,1
context_101314.json,root_preamble,1,1,0,1,1
context_101341.json,unstructured_whole,1,1,0,1,1
context_101358.json,structured,4,4,0,1,1
context_101358.json,root_preamble,1,1,0,1,1
context_101375.json,structured,43,43,0,1,1
context_101375.json,root_preamble,1,1,0,1,1
context_101445.json,structured,7,7,0,1,1
context_101445.json,root_preamble,1,1,0,1,1
context_101453.json,structured,19,19,0,1,1
context_101453.json,root_preamble,1,1,0,1,1
context_10148.json,structured,45,45,0,1,1
context_10148.json,root_preamble,1,1,0,1,1
context_101491.json,structured,5,5,0,1,1
context_101491.json,root_preamble,1,1,0,1,1
context_101494.json,structured,1,1,0,1,1
context_101494.json,root_preamble,1,1,0,1,1
context_101508.json,structured,6,6,0,1,1
context_101508.json,root_preamble,1,1,0,1,1
context_101544.json,structured,23,23,0,1,1
context_101544.json,root_preamble,1,1,0,1,1
context_101555.json,structured,3,3,0,1,1
context_101555.json,root_preamble,1,1,0,1,1
context_101591.json,structured,4,4,0,1,1
context_101591.json,root_preamble,1,1,0,1,1
context_101603.json,structured,16,16,0,1,1
context_101603.json,root_preamble,1,1,0,1,1
context_101609.json,structured,18,18,0,1,1
context_101609.json,root_preamble,1,1,0,1,1
context_101613.json,structured,17,17,0,1,1
context_101613.json,root_preamble,1,1,0,1,1
context_101679.json,structured,15,15,0,1,1
context_101679.json,root_preamble,1,1,0,1,1
context_101733.json,unstructured_whole,1,1,0,1,1
context_101752.json,structured,4,4,0,1,1
context_101752.json,root_preamble,1,1,0,1,1
context_101814.json,structured,9,9,0,1,1
context_101814.json,root_preamble,1,1,0,1,1
context_101819.json,structured,59,59,0,1,1
context_101819.json,root_preamble,1,1,0,1,1
context_10188.json,structured,22,22,0,1,1
context_10188.json,root_preamble,1,1,0,1,1
context_101885.json,structured,7,7,0,1,1
context_101885.json,root_preamble,1,1,0,1,1
context_101987.json,structured,14,14,0,1,1
context_101987.json,root_preamble,1,1,0,1,1
context_101995.json,structured,32,32,0,1,1
context_101995.json,root_preamble,1,1,0,1,1
context_101998.json,structured,17,17,0,1,1
context_101998.json,root_preamble,1,1,0,1,1
context_102008.json,structured,22,22,0,1,1
context_102008.json,root_preamble,1,1,0,1,1
context_102011.json,structured,15,15,0,1,1
context_102011.json,root_preamble,1,1,0,1,1
context_102059.json,unstructured_whole,1,1,0,1,1
context_102061.json,structured,3,3,0,1,1
